Project	SampleName
Microbiome	S42_1_2011_04_27_1
Microbiome	S42_2_2011_02_15_2
Microbiome	S43_1_2011_02_15_1
Microbiome	S43_1_2011_04_27_1
Microbiome	S43_2_2011_02_15_2
Microbiome	S44_1_2011_02_15_1
Microbiome	S44_2_2011_02_15_2
Microbiome	S45_1_2011_02_15_1
Microbiome	S45_2_2011_02_15_2
Microbiome	S46_1_2011_02_15_1
Microbiome	S47_1_2011_02_15_1
Microbiome	S4_1_2011_02_15_1
Microbiome	S4_1_2011_04_27_1
Microbiome	S4_2_2011_02_15_2
Microbiome	S5_1_2011_02_15_1
Microbiome	S5_1_2011_04_27_1
Microbiome	S5_2_2011_02_15_2
Microbiome	S6_1_2011_02_15_1
Microbiome	S6_1_2011_04_27_1
Microbiome	S6_2_2011_02_15_2
Microbiome	S7_1_2011_02_15_1
Microbiome	S7_1_2011_04_27_1
Microbiome	S7_2_2011_02_15_2
Microbiome	S8_1_2011_02_15_1
Microbiome	S8_1_2011_04_27_1
Microbiome	S8_2_2011_02_15_2
Microbiome	S9_1_2011_02_15_1
Microbiome	S9_1_2011_04_27_1
Microbiome	S9_2_2011_02_15_2
